Method,Number of Datasets,NDCG@5,NDCG@10,NDCG@15,NDCG@20,Precision@5,Precision@10,Precision@15,Precision@20,Recall@5,Recall@10,Recall@15,Recall@20
task1_gpt4_p1,10,0.6608397947263839,0.6468562235661908,0.5890492234824853,0.38342412380357016,0.0,0.0,0.25,0.625,0.8,0.7,0.7,0.7
task1_gpt4_p2,10,0.6608397947263839,0.6468562235661908,0.5890492234824853,0.38342412380357016,0.0,0.0,0.25,0.625,0.8,0.7,0.7,0.7
task1_gpt3.5_p1,10,0.6608397947263839,0.6468562235661908,0.5890492234824853,0.38342412380357016,0.0,0.0,0.25,0.625,0.8,0.7,0.7,0.7
task1_gpt3.5_p2,10,0.6608397947263839,0.5832354353672391,0.5254284352835337,0.3198033356046187,0.0,0.0,0.25,0.625,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001
task1_gpt3.5_p3,10,0.6608397947263839,0.5832354353672391,0.5804513768580537,0.37482627717913874,0.0,0.0,0.15000000000000002,0.525,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001
task1_llama7b_p1,10,0.6608397947263839,0.6468562235661908,0.5890492234824853,0.38342412380357016,0.0,0.0,0.25,0.625,0.8,0.7,0.7,0.7
task1_llama7b_p2,10,0.6608397947263839,0.5169812119128502,0.45917421182914475,0.25354911215022957,0.0,0.0,0.25,0.625,0.8,0.5,0.5,0.5
task1_llama7b_p3,10,0.6608397947263839,0.6468562235661908,0.5890492234824853,0.38342412380357016,0.0,0.0,0.25,0.625,0.8,0.7,0.7,0.7
task1_llama13b_p1,10,0.6608397947263839,0.6468562235661908,0.5890492234824853,0.38342412380357016,0.0,0.0,0.25,0.625,0.8,0.7,0.7,0.7
task1_llama13b_p2,10,0.6608397947263839,0.5832354353672391,0.5254284352835337,0.3198033356046187,0.0,0.0,0.25,0.625,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001
task1_llama13b_p3,10,0.6608397947263839,0.6468562235661908,0.5890492234824853,0.38342412380357016,0.0,0.0,0.25,0.625,0.8,0.7,0.7,0.7
task1_llama34b_p1,10,0.6608397947263839,0.3741860678767127,0.3163790677930073,0.21178675490055276,0.0,0.0,0.25,0.375,0.8,0.3,0.3,0.3
task1_llama34b_p2,10,0.6608397947263839,0.5169812119128502,0.5155084656077049,0.30988336592878973,0.0,0.0,0.13888888888888884,0.5138888888888888,0.8,0.5,0.5,0.5
task1_llama34b_p3,10,0.6608397947263839,0.5169812119128502,0.45917421182914475,0.25354911215022957,0.0,0.0,0.25,0.625,0.8,0.5,0.5,0.5
