Method,Number of Datasets,NDCG@5,NDCG@10,NDCG@15,NDCG@20,Precision@5,Precision@10,Precision@15,Precision@20,Recall@5,Recall@10,Recall@15,Recall@20
task1_gpt4_p1,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
task1_gpt4_p2,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
task1_gpt3.5_p1,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
task1_gpt3.5_p2,10,1.0,0.9363792118010483,0.9363792118010483,0.9363792118010485,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
task1_gpt3.5_p3,10,1.0,0.9363792118010483,0.9914021533755684,0.9914021533755686,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.9
task1_llama7b_p1,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
task1_llama7b_p2,10,1.0,0.8701249883466594,0.8701249883466594,0.8701249883466594,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8
task1_llama7b_p3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
task1_llama13b_p1,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
task1_llama13b_p2,10,1.0,0.9363792118010483,0.9363792118010483,0.9363792118010485,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
task1_llama13b_p3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
task1_llama34b_p1,10,1.0,0.727329844310522,0.727329844310522,0.8283626310969826,1.0,1.0,1.0,0.75,1.0,0.6,0.6,0.6
task1_llama34b_p2,10,1.0,0.8701249883466594,0.9264592421252196,0.9264592421252196,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,0.8,0.8,0.8
task1_llama34b_p3,10,1.0,0.8701249883466594,0.8701249883466594,0.8701249883466594,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8
